name,information,address,price,owner,complex_name,house_type,in_pledge,construction_year,ceiling_height,furniture_info,bathroom_info,condition,area,room_count,floor,floor_count,district
"1-комнатная квартира, 36.64 м², 8/9 этаж","жил. комплекс Megapolis, 2024 г.п., состояние: черновая отделка, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, Срочно продам 1-комн. квартиру, окна смотрят на Алею Тысячелетия. Сдача март-апрель 2024года. В доме будет детский сад, торговые помещения, р…", Нажмиденова — Жумабаева,16999999,Риелтор,megapolis,,False,2024,2.7,,совмещенный,черновая отделка,36.64,1,8.0,9.0,Алматы р-н
"2-комнатная квартира, 50.75 м², 7/12 этаж","жил. комплекс Женева, кирпичный дом, 2023 г.п., состояние: черновая отделка, потолки 3м., телефон: есть возможность подключения, Продается просторная 2-х комнатная квартира, кухня студия с витражными панорамными окнами на 7 этаже. Окна выходят во двор. Дом выполнен из качественного кирпича. О…", Шамши Калдаякова 44 — А-52,18000000,Риелтор,женева,кирпичный дом,False,2023,3.0,,,черновая отделка,50.75,2,7.0,12.0,Алматы р-н
"3-комнатная квартира, 125 м², 3/43 этаж","жил. комплекс Северное сияние, монолитный дом, 2008 г.п., состояние: хорошее, потолки 2.8м., санузел 2 с/у и более, интернет проводной, меблирована частично, 3-х комнатная, светлая, прекрасный холл, гардеробная, 2 сан. узла. В одной ванна, а в другой душ. Пластиковые окна, улучшенная, комнаты изоли…",Достык 5,51000000,Риелтор,северное сияние,монолитный дом,False,2008,2.8,,2,хорошее,125.0,3,3.0,43.0,
"1-комнатная квартира, 42 м², 4/9 этаж","жил. комплекс Aria, кирпичный дом, 2018 г.п., потолки 3м., 🧨 Предлагается вашему вниманию полноценная 1- комнатная квартира. 🧨 квартира продаётся в предчистовой отделке. 🧨 данный жилой комплекс находится в левобережье столицы. 🧨 шикарный район, развитая инфраструктура, в шаговой доступност…", Бокейханова 20,27000000,Риелтор,aria,кирпичный дом,False,2018,3.0,,,,42.0,1,4.0,9.0,Есильский р-н
"2-комнатная квартира, 60 м², 7/9 этаж","жил. комплекс TOLE BI, кирпичный дом, 2021 г.п., состояние: хорошее, потолки 3м., санузел совмещенный, меблирована частично, Вашему вниманию полноценная двухкомнатная квартира в новом доме комфорт плюс класса : -Потолки 3м -дом 9-ти этажный -закрытый двор -дом кирпичный - застройщик Galamat Group…", Казыбек би 5А,31500000,Риелтор,tole bi,кирпичный дом,False,2021,3.0,,совмещенный,хорошее,60.0,2,7.0,9.0,Есильский р-н
"2-комнатная квартира, 45 м², 4/5 этаж","панельный дом, 1969 г.п., состояние: хорошее, потолки 2.5м., санузел совмещенный, интернет оптика, меблирована полностью, 💥Эксклюзивное предложение 💥Отличный ремонт, Золотой квадрат Сарыарка-Сейфуллина 💥Квартира теплая, с ремонтом и мебелью. 💥Рядом спорт комплекс Астана, #35 школа, детские сад…", Сарыарка 19 — Сейфуллина,18600000,Риелтор,,панельный дом,False,1969,2.5,,совмещенный,хорошее,45.0,2,4.0,5.0,Сарыарка р-н
"2-комнатная квартира, 73.5 м², 3/10 этаж","жил. комплекс Expo Avenue, монолитный дом, 2022 г.п., состояние: черновая отделка, потолки 3м., Документы на руках Ипотека + Комиссия агентства 440 тысяч Жилой комплекс Expo Avenue выстроен по авторскому архитектурному проекту в ярком современном стиле. Около ЖК – удобная транспортная развязк…", Кабанбай батыра 64 — Рыскулова,32000000,Риелтор,expo avenue,монолитный дом,False,2022,3.0,,,черновая отделка,73.5,2,3.0,10.0,Есильский р-н
"2-комнатная квартира, 56 м², 17/22 этаж","жил. комплекс Inju Promenade, монолитный дом, 2022 г.п., потолки 3м., санузел совмещенный, 🔥 🔥 🔥Цена ниже, чем у застройщика 🔥 🔥 🔥 🔥 🔥 🔥 Горячее предложение двухкомнатной квартиры в ЖК бизнес Класса Inju Promenade 🔥 🔥 🔥Очень выгодное капиталовложение в среднесрочной перспективе. Дом сд…", Ж. Нажимеденова стр. 5,23990000,Риелтор,inju promenade,монолитный дом,False,2022,3.0,,совмещенный,,56.0,2,17.0,22.0,Алматы р-н
"1-комнатная квартира, 37 м², 6/9 этаж","жил. комплекс Запад по ул. Нажимеденова, кирпичный дом, 2021 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, меблирована полностью, Квартира новая, вся техника новая, окна смотрят во двор. Есть торг, только за наличный расчет. Ипотеку не рассматриваем. Документы ДДУ. ЖК «Зап…", Нажимеденова 17 — Нажимеденова 17,16600000,Риелтор,запад по ул. нажимеденова,кирпичный дом,False,2021,2.8,,совмещенный,хорошее,37.0,1,6.0,9.0,Алматы р-н
"2-комнатная квартира, 64 м², 9/10 этаж","жил. комплекс Mechta, кирпичный дом, 2022 г.п., потолки 3м., санузел совмещенный, интернет проводной, В продаже 2 комнатная полноценная квартира от надежного застройщика. Квартира для ценителей комфорта, домашнего тепла и уюта. Очень светлая, чистая. Изолированные комнаты, имеется гардеробная. Бол…", Култегин 11A,36000000,Риелтор,mechta,кирпичный дом,False,2022,3.0,,совмещенный,,64.0,2,9.0,10.0,Есильский р-н
"1-комнатная квартира, 35 м², 3/9 этаж","жил. комплекс Баскару 2,3,4,5, кирпичный дом, 2023 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, меблирована частично, ЖК Баскару-5 очередь!Дом кирпичный!Евродвушка!Спальня изолированная и гостиная с кухней совмещенные!Хороший качественный ремонт!После ремонта никто не жил!Хоро…",Калдаяков 26,14000000,Риелтор,баскару 2,кирпичный дом,False,2023,2.8,,совмещенный,хорошее,35.0,1,3.0,9.0,
"3-комнатная квартира, 91.3 м², 7/9 этаж","кирпичный дом, 2009 г.п., санузел раздельный, интернет ADSL, меблирована частично, Полноценная трехкомнатная квартира 😍 ————————————————— ▫️ Дом сдан в 2009 году ▫️ Лифт пассажирский👍 ▫️ 2 квартир на площадке ▫️ Этажность: 9 + полноценный тех этаж ▫️ Материал стен Кирпич ————————————————— Перед…", Проспект Шакарим Кудайбердиулы,31500000,Риелтор,,кирпичный дом,False,2009,,,раздельный,,91.3,3,7.0,9.0,Алматы р-н
"2-комнатная квартира, 51 м², 12/20 этаж","жил. комплекс Shabyt, монолитный дом, 2023 г.п., состояние: черновая отделка, потолки 3м., санузел совмещенный, без мебели, Продается отличная евро двушка в ЖК ""Shabyt"" от Bi Group. Предчистовая отделка! Дом в полностью сформированном районе Левого берега. Рядом школы, больницы, магазины…", Туран 44/2 — Туран-Орынбор,27000000,Хозяин недвижимости,shabyt,монолитный дом,False,2023,3.0,без мебели,совмещенный,черновая отделка,51.0,2,12.0,20.0,Есильский р-н
"4-комнатная квартира, 144 м², 13/20 этаж","жил. комплекс Гранд Астана Элит, монолитный дом, 2010 г.п., потолки 3м., санузел 2 с/у и более, меблирована полностью, Ипотека рассматривается Полное сопровождение ипотеки Услуги компании 1%", Калдаякова — Нажимеденова,60000000,Риелтор,гранд астана элит,монолитный дом,False,2010,3.0,,2,,144.0,4,13.0,20.0,Алматы р-н
"2-комнатная квартира, 37 м², 7/9 этаж","жил. комплекс Баскару 1, кирпичный дом, 2020 г.п., потолки 2.7м., санузел совмещенный, меблирована частично, 🔥Продам двухкомнатную квартиру, кухня студия и отдельная спальня. Квартира только после ремонта чистая свежая, никто не жил. Все что увидите на фотографиях остается. •🗾находится недал…", А 91 ул 16,17700000,Хозяин недвижимости,баскару 1,кирпичный дом,False,2020,2.7,,совмещенный,,37.0,2,7.0,9.0,Алматы р-н
