complex_name,address,year,complex_class,ceiling_height,house_type,parking,elevator,district,full_address,coordinates_2gis,min_floor_count,max_floor_count,schools_within_500m,kindergartens_within_500m,park_within_1km
шыгыс,"ул. Сыганак, 14",2017,эконом,2.7,монолитный дом,надземный,пассажирский и грузовой,Нура р-н,"ул. Сыганак, 14, жк шыгыс","(51.130001, 71.375612)",7,16,2,0,False
mechta,"ул. Култегин, 11",2022,комфорт,3.0,кирпичный дом,надземный,пассажирский,Нура р-н,"ул. Култегин, 11, жк mechta","(51.133683, 71.372324)",10,10,1,0,False
sat city,"ул. Асфендиярова, 8",2021,комфорт,3.0,монолитный дом,надземный,пассажирский и грузовой,Нура р-н,"ул. Асфендиярова, 8, жк sat city","(51.134033, 71.381309)",12,18,0,0,False
nova city,"ул. Аль-Фараби, 34/4",2017,эконом,2.7,монолитный дом,надземный,пассажирский и грузовой,Есильский р-н,"ул. Аль-Фараби, 34/4, жк nova city","(51.088826, 71.452984)",9,18,0,0,False
alpamys,"пр. Улы Дала, 31",2022,комфорт,3.0,кирпичный дом,надземный,пассажирский и грузовой,Нура р-н,"пр. Улы Дала, 31, жк alpamys","(51.100594, 71.399669)",12,12,0,0,False
жагалау 3,"ул. Айтматова, 36",2020,эконом,2.7,монолитный дом,подземный,пассажирский и грузовой,Нура р-н,"ул. Айтматова, 36, жк жагалау 3","(51.13692, 71.367056)",9,16,1,0,False
арнау,"пр. Улы Дала, 67",2015,комфорт,2.7,кирпичный дом,подземный,пассажирский и грузовой,Есильский р-н,"пр. Улы Дала, 67, жк арнау","(51.093991, 71.444867)",8,16,0,0,False
лазурный квартал,"ул. Сарайшык, 5",2014,бизнес,2.7,монолитный дом,подземный,пассажирский и грузовой,Есильский р-н,"ул. Сарайшык, 5, жк лазурный квартал","(51.135942, 71.422636)",14,24,2,0,False
времена года,"пр. Кабанбай батыра, 46",2016,комфорт,2.7,монолитный дом,подземный,пассажирский и грузовой,Есильский р-н,"пр. Кабанбай батыра, 46, жк времена года","(51.11552, 71.412893)",6,24,2,0,False
сатурн,"ул. Байтурсынова, 37/1",2021,комфорт,2.7,кирпичный дом,подземный,пассажирский,Алматы р-н,"ул. Байтурсынова, 37/1, жк сатурн","(51.120055, 71.500812)",9,9,0,0,False
турсын астана,"пр. Кошкарбаева, 40",2012,эконом,2.7,монолитный дом,нет,пассажирский и грузовой,Алматы р-н,"пр. Кошкарбаева, 40, жк турсын астана","(51.126447, 71.489768)",9,16,5,3,False
buqar jyray,"пр. Туран, 50/4",2023,комфорт,3.0,монолитный дом,подземный,пассажирский и грузовой,Нура р-н,"пр. Туран, 50/4, жк buqar jyray","(51.1052047, 71.4003998)",12,17,0,0,False
bravo family,"ул. Калдаякова, 23а",2022,комфорт,3.0,монолитный дом,надземный,пассажирский и грузовой,Алматы р-н,"ул. Калдаякова, 23а, жк bravo family","(51.11602, 71.48466)",6,18,0,0,False
магистральный,"пр. Момышулы, 13/1",2010,эконом,2.7,монолитный дом,надземный,пассажирский и грузовой,Алматы р-н,"пр. Момышулы, 13/1, жк магистральный","(51.138611, 71.469594)",10,18,0,0,False
badana,"ул. Игишева, 18",2022,эконом,2.7,кирпичный дом,надземный,пассажирский,Алматы р-н,"ул. Игишева, 18, жк badana","(51.121808, 71.51205)",9,9,1,0,False
мадрид,"ул. Айтматова, 60",2022,комфорт,3.0,монолитный дом,надземный,пассажирский и грузовой,Нура р-н,"ул. Айтматова, 60, жк мадрид","(51.159987, 71.374078)",12,12,0,0,False
manhattan,"ул. Анет баба, 11/2",2021,комфорт,3.0,монолитный дом,подземный,пассажирский и грузовой,Нура р-н,"ул. Анет баба, 11/2, жк manhattan","(51.138941, 71.383518)",10,16,0,0,False
apple city,"ул. Букейханова, 25",2020,комфорт,3.0,монолитный дом,подземный,пассажирский,Есильский р-н,"ул. Букейханова, 25, жк apple city","(51.087686, 71.429785)",3,10,0,0,False
budapest,"пр. Кабанбай батыра, 59",2021,комфорт,2.7,кирпичный дом,нет,пассажирский,Нура р-н,"пр. Кабанбай батыра, 59, жк budapest","(51.075992, 71.395566)",12,12,0,0,False
хайвил астана,"ул. Байтурсынова, 1",2007,премиум,3.0,монолитный дом,подземный,пассажирский и грузовой,Алматы р-н,"ул. Байтурсынова, 1, жк хайвил астана","(51.128498, 71.459112)",24,35,1,1,True
гранд астана,"ул. Калдаякова, 11",2011,комфорт,3.0,монолитный дом,подземный,пассажирский и грузовой,Алматы р-н,"ул. Калдаякова, 11, жк гранд астана","(51.11855, 71.464794)",17,22,0,0,False
сенатор,"ул. Байтурсынова, 23",2018,комфорт,3.0,монолитный дом,подземный,пассажирский,Алматы р-н,"ул. Байтурсынова, 23, жк сенатор","(51.123208, 71.480525)",9,23,0,0,False
айбике,"ул. Болекпаева, 22",2023,эконом,2.7,кирпичный дом,надземный,пассажирский,Алматы р-н,"ул. Болекпаева, 22, жк айбике","(51.120977, 71.510529)",9,9,1,0,False
grand champion,"пр. Туран, 46/4",2022,комфорт,3.0,кирпичный дом,подземный,пассажирский и грузовой,Нура р-н,"пр. Туран, 46/4, жк grand champion","(51.111596, 71.401358)",10,12,0,0,False
арман кала,"пр. Улы Дала, 47",2018,комфорт,2.7,монолитный дом,надземный,пассажирский и грузовой,Есильский р-н,"пр. Улы Дала, 47, жк арман кала","(51.096477, 71.423807)",7,17,0,0,False
7я,"пр. Тауелсыздык, 21",2016,комфорт,2.7,монолитный дом,подземный,пассажирский и грузовой,Алматы р-н,"пр. Тауелсыздык, 21, жк 7я","(51.145949, 71.457437)",9,16,2,2,True
aq didar,"ул. Казыбек би, 11",2018,эконом,2.57,монолитный дом,нет,пассажирский,Нура р-н,"ул. Казыбек би, 11, жк aq didar","(51.116926, 71.389865)",5,12,0,0,False
altyn dala,"ул. Мухамедханова, 12/3",2022,комфорт,3.0,монолитный дом,надземный,пассажирский и грузовой,Нура р-н,"ул. Мухамедханова, 12/3, жк altyn dala","(51.139518, 71.378371)",16,16,0,0,False
камал,"пр. Улы Дала, 63",2016,эконом,2.7,монолитный дом,подземный,пассажирский и грузовой,Есильский р-н,"пр. Улы Дала, 63, жк камал","(51.094363, 71.440839)",8,8,0,0,False
жети жол 3,"пр. Тлендиева, 44а",2020,эконом,2.7,монолитный дом,нет,пассажирский и грузовой,Сарыарка р-н,"пр. Тлендиева, 44а, жк жети жол 3","(51.192581, 71.331738)",16,17,0,0,False
венский квартал,"ул. Букейханова, 27/1",2019,бизнес,3.0,кирпичный дом,подземный,пассажирский,Есильский р-н,"ул. Букейханова, 27/1, жк венский квартал","(51.085539, 71.428998)",6,9,0,0,False
самрук towers,"ул. Мухамедханова, 17",2018,эконом,2.7,монолитный дом,подземный,пассажирский и грузовой,Нура р-н,"ул. Мухамедханова, 17, жк самрук towers","(51.141232, 71.386744)",14,24,2,0,False
алтын шар 1,"пр. Туран, 55/1",2016,эконом,2.55,монолитный дом,надземный,пассажирский и грузовой,Нура р-н,"пр. Туран, 55/1, жк алтын шар 1","(51.118616, 71.399311)",9,23,0,0,False
махаббат,"пр. Сарыарка, 43",2008,эконом,2.7,монолитный дом,нет,пассажирский и грузовой,Сарыарка р-н,"пр. Сарыарка, 43, жк махаббат","(51.180043, 71.404271)",8,18,3,4,False
жайна,"пр. Кошкарбаева, 56 блок 1",2016,комфорт,2.7,монолитный дом,надземный,пассажирский и грузовой,Алматы р-н,"пр. Кошкарбаева, 56 блок 1, жк жайна","(51.130021, 71.502421)",9,18,1,0,False
баспана коктал,"ул. Караменде Би Шакаулы, 6 / ул. Бейбарыс Султан",2022,бизнес,2.7,монолитный дом,надземный,пассажирский,Сарыарка р-н,"ул. Караменде Би Шакаулы, 6 / ул. Бейбарыс Султан, жк баспана коктал","(51.172306, 71.370436)",9,12,1,0,False
