complex_name,city_district,address,year,developer,characteristics
ЖК Шыгыс,"Астана, р-н Нура","ул. Сыганак, 14",2017 г.,ASI,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '7 – 16', 'Паркинг': 'надземный', 'Лифт': 'пассажирский и грузовой, пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Mechta,"Астана, р-н Нура","ул. Култегин, 11",2022 г.,Паркинг Системс Астана,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'кирпичная', 'Этажность': '10', 'Паркинг': 'надземный', 'Лифт': 'пассажирский', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Sat City,"Астана, р-н Нура","ул. Асфендиярова, 8",2021 г.,SAT-NS,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '12 – 18', 'Паркинг': 'надземный', 'Варианты отделки': 'черновая', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок'}"
ЖК Nova City,"Астана, р-н Есиль","ул. Аль-Фараби, 34/4",2017 г.,Otau Development Group,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '9 – 18', 'Паркинг': 'надземный', 'Лифт': 'пассажирский, пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Alpamys,"Астана, р-н Нура","пр. Улы Дала, 31",2022 г.,Mercury Planet,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'кирпичная', 'Этажность': '12', 'Паркинг': 'надземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Жагалау-3,"Астана, р-н Нура","ул. Айтматова, 36",2020 г.,ASI,"{'Класс ЖК': 'премиум', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '9 – 16', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой, пассажирский', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Арнау,"Астана, р-н Есиль","пр. Улы Дала, 67",2015 г.,BI Group,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'кирпичная, монолитно-каркасная', 'Этажность': '8 – 16', 'Паркинг': 'подземный', 'Лифт': 'пассажирский, пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Лазурный Квартал,"Астана, р-н Есиль","ул. Сарайшык, 5",2014 г.,BI Group,"{'Класс ЖК': 'бизнес', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '14 – 24', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Времена Года,"Астана, р-н Есиль","пр. Кабанбай батыра, 46",2016 г.,BI Group,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '6 – 24', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой, пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Сатурн,"Астана, р-н Алматы","ул. Байтурсынова, 37/1",2021 г.,ПромСтройГарант KZ,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'кирпичная', 'Этажность': '9', 'Паркинг': 'подземный', 'Лифт': 'пассажирский', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Турсын Астана,"Астана, р-н Алматы","пр. Кошкарбаева, 40",2012 г.,Жана Курылыс,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '9 – 16', 'Лифт': 'пассажирский и грузовой, пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Buqar Jyray,"Астана, р-н Нура","пр. Туран, 50/4",2023 г.,Построен,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '12 – 17', 'Паркинг': 'подземный', 'Варианты отделки': 'предчистовая', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок'}"
ЖК Bravo Family,"Астана, р-н Алматы","ул. Калдаякова, 23а",2022 г.,SAT-NS,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '6 – 18', 'Паркинг': 'надземный', 'Варианты отделки': 'черновая', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок'}"
ЖК Магистральный,"Астана, р-н Алматы","пр. Момышулы, 13/1",2010 г.,Тамыз Инвест Групп,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '10 – 18', 'Паркинг': 'надземный', 'Лифт': 'пассажирский и грузовой, пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Badana,"Астана, р-н Алматы","ул. Игишева, 18",2022 г.,Beles,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'кирпичная', 'Этажность': '9', 'Паркинг': 'надземный', 'Лифт': 'пассажирский', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Мадрид,"Астана, р-н Нура","ул. Айтматова, 60",2022 г.,G-Park,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '12', 'Паркинг': 'надземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Manhattan,"Астана, р-н Нура","ул. Анет баба, 11/2",2021 г.,G-Park,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '10 – 16', 'Паркинг': 'подземный', 'Лифт': 'пассажирский, пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Apple City,"Астана, р-н Есиль","ул. Букейханова, 25",2020 г.,SAT-NS,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '3 – 10', 'Паркинг': 'подземный', 'Лифт': 'пассажирский, нет', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Budapest,"Астана, р-н Нура","пр. Кабанбай батыра, 59",2021 г.,G-Park,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м, 99.99 м', 'Технология строительства': 'кирпичная', 'Этажность': '12', 'Лифт': 'пассажирский', 'Стены': 'кирпич'}"
ЖК Хайвил Астана,"Астана, р-н Алматы","ул. Байтурсынова, 1",2007 г.,Highvill Kazakhstan,"{'Класс ЖК': 'премиум', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '24 – 35', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Гранд Астана,"Астана, р-н Алматы","ул. Калдаякова, 11",2011 г.,Жана Курылыс,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '17 – 22', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Сенатор,"Астана, р-н Алматы","ул. Байтурсынова, 23",2018 г.,Оркен,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '9 – 23', 'Паркинг': 'подземный', 'Лифт': 'пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Aibike,"Астана, р-н Алматы","ул. Болекпаева, 22",2023 г.,Построен,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'кирпичная', 'Этажность': '9', 'Паркинг': 'надземный', 'Лифт': 'пассажирский', 'Стены': 'кирпич'}"
ЖК Grand Champion,"Астана, р-н Нура","пр. Туран, 46/4",2022 г.,Построен,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'кирпичная', 'Этажность': '10 – 12', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'кирпич', 'Отопление': 'центральное'}"
ЖК Арман Кала,"Астана, р-н Есиль","пр. Улы Дала, 47",2018 г.,BI Group,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '7 – 17', 'Паркинг': 'надземный', 'Лифт': 'пассажирский, пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК 7-я,"Астана, р-н Алматы","пр. Тауелсыздык, 21",2016 г.,BI Group,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '2.7 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '9 – 16', 'Паркинг': 'подземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Ак Дидар,"Астана, р-н Нура","ул. Казыбек би, 11",2018 г.,Построен,"{'Класс ЖК': 'эконом', 'Умный дом': 'нет', 'Высота потолков': '2.57 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '5 – 12', 'Варианты отделки': 'предчистовая', 'Лифт': 'пассажирский', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
ЖК Altyn Dala,"Астана, р-н Нура","ул. Мухамедханова, 12/3",2022 г.,Kaz Business Solutions,"{'Класс ЖК': 'комфорт', 'Умный дом': 'нет', 'Высота потолков': '3 м', 'Технология строительства': 'монолитно-каркасная', 'Этажность': '16', 'Паркинг': 'надземный', 'Лифт': 'пассажирский и грузовой', 'Стены': 'газоблок', 'Отопление': 'центральное'}"
